2017-09-19 14:09:16,404 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-09-19 14:09:52,133 [Worker-11] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Python_Interface:Python_Interface:0.0.1-SNAPSHOT @ /home/vishal/Infosys/NMF/Python_Interface/pom.xml.
2017-09-19 14:09:53,513 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-19 14:09:53,556 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/vishal/Infosys/NMF/Python_Interface/src/main/resources
2017-09-19 14:09:53,561 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-19 14:09:53,562 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/vishal/Infosys/NMF/Python_Interface/src/test/resources
2017-09-19 14:09:54,621 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Python_Interface:Python_Interface:0.0.1-SNAPSHOT @ /home/vishal/Infosys/NMF/Python_Interface/pom.xml.
2017-09-19 14:09:55,163 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-19 14:09:55,165 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/vishal/Infosys/NMF/Python_Interface/src/main/resources
2017-09-19 14:09:55,168 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-19 14:09:55,169 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/vishal/Infosys/NMF/Python_Interface/src/test/resources
